C_Code,Z5111,Z5112
C109,350,0
C153,350,0
C166,350,0
C182,350,0
C189,350,0
C220,700,0
C250,350,0
C259,350,0
C318,350,0
C342,350,0
C3431,350,0
C3491,350,0
C4001,350,0
C4002,2800,0
C4021,350,0
C4022,3150,0
C413,350,0
C414,350,0
C419,1400,0
C482,350,0
C490,350,0
C493,350,0
C494,700,0
C495,350,0
C499,350,0
C541,350,0
C569,700,0
C5700,350,0
C6291,350,0
C6292,350,0
C641,350,0
C642,350,0
C716,1400,0
C717,700,0
C719,700,0
C729,350,0
C7490,1750,350
C753,350,0
C762,350,0
C772,350,0
C778,0,350
C7801,350,0
C8111,350,0
C8174,350,0
C8190,1050,0
C8191,350,0
C8198,350,0
C8211,350,0
C8290,350,0
C8298,350,0
C8310,350,0
C8311,700,0
C8313,350,0
C8315,350,0
C8318,350,0
C8330,11200,0
C8331,3150,0
C8332,350,0
C8333,700,0
C8334,700,0
C8335,350,0
C8336,350,0
C8338,3850,0
C8339,11900,350
C8351,350,0
C8352,350,0
C8370,2100,0
C8373,700,0
C8374,350,0
C8378,350,0
C8379,1400,0
C8468,350,0
C8470,700,0
C8510,1050,0
C8512,1050,0
C8513,350,0
C8518,350,0
C8519,700,0
C8520,350,0
C8522,1050,0
C8529,1400,0
C8580,1050,0
C8588,700,0
C8589,350,0
C8590,700,0
C8591,350,0
C8595,350,0
C8599,1400,0
C9000,2800,0
C9002,700,0
C9100,10500,0
C9101,1050,0
C9102,2450,0
C9110,700,0
C9112,700,0
C9150,700,0
C91Z0,350,0
C9200,8050,350
C9201,1400,0
C9202,1050,0
C9251,350,0
C92A0,350,0
C92A1,350,0
C92Z0,350,0
C9420,350,0
C9501,350,0
